"","Year","Variable","Val","Loc","N"
"142",2002,"GLORYS_HW_intensity_max",1.57874,"NYB",NA
"143",2003,"GLORYS_HW_intensity_max",NA,"NYB",NA
"144",2004,"GLORYS_HW_intensity_max",NA,"NYB",NA
"145",2005,"GLORYS_HW_intensity_max",1.4414,"NYB",NA
"146",2006,"GLORYS_HW_intensity_max",1.48967,"NYB",NA
"147",2007,"GLORYS_HW_intensity_max",2.019,"NYB",NA
"148",2008,"GLORYS_HW_intensity_max",NA,"NYB",NA
"149",2009,"GLORYS_HW_intensity_max",1.7163,"NYB",NA
"150",2010,"GLORYS_HW_intensity_max",NA,"NYB",NA
"151",2011,"GLORYS_HW_intensity_max",1.47295,"NYB",NA
"152",2012,"GLORYS_HW_intensity_max",3.2025,"NYB",NA
"153",2013,"GLORYS_HW_intensity_max",1.8283,"NYB",NA
"154",2014,"GLORYS_HW_intensity_max",2.1086,"NYB",NA
"155",2015,"GLORYS_HW_intensity_max",2.29675,"NYB",NA
"156",2016,"GLORYS_HW_intensity_max",1.68514,"NYB",NA
"157",2017,"GLORYS_HW_intensity_max",1.5097,"NYB",NA
"158",2018,"GLORYS_HW_intensity_max",NA,"NYB",NA
"159",2019,"GLORYS_HW_intensity_max",2.75635,"NYB",NA
"160",2020,"GLORYS_HW_intensity_max",1.775075,"NYB",NA
"161",2021,"GLORYS_HW_intensity_max",1.99485,"NYB",NA
"162",2022,"GLORYS_HW_intensity_max",1.74815,"NYB",NA
"163",2023,"GLORYS_HW_intensity_max",1.933875,"NYB",NA
"164",2024,"GLORYS_HW_intensity_max",1.0966,"NYB",NA
"165",2025,"GLORYS_HW_intensity_max",NA,"NYB",NA
"166",1993,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"167",1994,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"168",1995,"GLORYS_HW_intensity_max_max",1.4805,"NYB",NA
"169",1996,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"170",1997,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"171",1998,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"172",1999,"GLORYS_HW_intensity_max_max",1.8286,"NYB",NA
"173",2000,"GLORYS_HW_intensity_max_max",1.8479,"NYB",NA
"174",2001,"GLORYS_HW_intensity_max_max",1.2963,"NYB",NA
"175",2002,"GLORYS_HW_intensity_max_max",1.9332,"NYB",NA
"176",2003,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"177",2004,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"178",2005,"GLORYS_HW_intensity_max_max",1.4414,"NYB",NA
"179",2006,"GLORYS_HW_intensity_max_max",1.8478,"NYB",NA
"180",2007,"GLORYS_HW_intensity_max_max",2.019,"NYB",NA
"181",2008,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"182",2009,"GLORYS_HW_intensity_max_max",1.8547,"NYB",NA
"183",2010,"GLORYS_HW_intensity_max_max",NA,"NYB",NA
"184",2011,"GLORYS_HW_intensity_max_max",1.8193,"NYB",NA
"185",2012,"GLORYS_HW_intensity_max_max",3.2025,"NYB",NA
"186",2013,"GLORYS_HW_intensity_max_max",1.8283,"NYB",NA
"187",2014,"GLORYS_HW_intensity_max_max",2.1086,"NYB",NA
