"","sid","year","month","day","hour","time","lat","lon","x","y","p_cent","p_edge","depth","p_grad","DsqP","radius","area","Dp","DpDt","u","v","uv","Ege","Ely","Emg","Esp","Erg","id","pid","type","centers","strength"
"222427",23,1947,6,3,9,17319.375,42.2864917874298,-73.8451488757247,161,302,1004.44437202611,1012.44437202611,8,14.3317663679505,6.71859789504291,641.416812916959,1292500,-0.251204179590422,-2.586645381254,17.9136439414712,-24.9783993282322,30.7379093671388,0,0,0,0,0,7,7,1,1,1
"222428",23,1947,6,3,12,17319.5,42.0499873759414,-73.921931343616,160,302,1004.33478219354,1012.33478219354,8,15.1741035616826,8.71850205393319,559.231135735104,982500,-0.109589832568308,-1.13359924311932,-2.1132835274645,-8.76603022885644,9.01716436806371,0,0,0,0,0,9,9,1,1,1
"222429",23,1947,6,3,15,17319.625,41.4383825394877,-73.5489009687137,158,300,1004.40274310167,1014.40274310167,10,15.2320837065748,9.61612601823872,710.29653638555,1585000,0.0679609081268427,0.711448879029854,10.3651713663367,-22.6691183083086,24.9264057242439,0,0,0,0,0,8,8,1,1,1
"222430",23,1947,6,3,18,17319.75,42.2460221854946,-70.9518170152536,164,292,1004.82553858942,1012.82553858942,8,14.6340921560356,9.90120254200992,624.92114831532,1226875,0.422795487747644,4.3569030199234,71.2557641165978,29.9351437309903,77.2883998413428,0,0,0,0,0,7,7,1,1,1
"222431",23,1947,6,3,21,17319.875,41.2330416334975,-71.049660764953,160,291,1006.01533835478,1012.01533835478,6,12.7521235257772,8.21882087285128,626.987008985817,1235000,1.18979976536459,12.5062717602412,-2.72731181745615,-37.5460993905602,37.6450236976345,0,0,0,0,0,5,5,1,1,1
"222796",107,1947,6,7,3,17323.125,42.4868368064007,-68.4828703525498,168,284,1010.47045209218,1010.47045209218,0,7.54447614425083,4.10698457762039,14.1047395886939,625,1.4306949426225,14.675510765559,50.1516579971204,-22.4196882553227,54.9347906278525,0,0,0,0,0,7,7,1,1,1
"222979",188,1947,6,9,0,17325,40.7544221608843,-70.3733346282582,159,288,1007.33040477123,1009.33040477123,2,8.20481981906912,5.58041893458489,339.687111532987,362500,NA,NA,NA,NA,NA,3,0,0,0,0,7,7,1,1,1
"222980",188,1947,6,9,3,17325.125,41.2201557330026,-70.1909032068548,161,288,1006.90634224835,1010.90634224835,4,9.07344929604954,4.10983522470779,465.670065564351,681250,-0.424062522885943,-4.45856746400547,5.08612322913736,17.2624034625341,17.9960890975034,0,0,0,0,0,7,7,1,1,1
"222981",188,1947,6,9,6,17325.25,42.0618512801049,-69.5570277818008,165,287,1004.19217427045,1010.19217427045,6,11.6185621988059,9.12424642305647,437.928882840278,602500,-2.71416797789585,-28.0689604199794,17.4428524382233,31.1974248723626,35.7425855227115,0,0,0,0,0,7,7,1,1,1
"222982",188,1947,6,9,9,17325.375,42.4354979660311,-69.1022345011611,167,286,1002.28591804076,1012.28591804076,10,13.5692774344784,10.4059213438597,696.15142154191,1522500,-1.90625622968641,-19.5727888641952,12.4410096408384,13.8492052775176,18.6166379269258,0,0,0,0,0,5,5,1,1,1
