,Season,season_year,SA,CT,sigma,pea,month,year
74,Spring,2013,33.55270339333754,6.81240422890137,26.16200350443122,14.819913238694587,3.017857142857143,2013.0
75,Spring,2014,33.03765090292051,6.554647772447572,25.795451761486866,38.726197233526385,3.8026315789473686,2014.0
76,Spring,2015,33.603388991971144,8.146861771330737,25.920768142048196,39.10127060898554,3.75,2015.0
77,Spring,2016,33.2122099647926,10.806765946802132,25.271208681417594,48.23647851186762,4.623376623376624,2016.0
78,Spring,2017,33.283664650603484,7.984665937967568,25.7566419134783,44.10086458411718,4.065789473684211,2017.0
79,Spring,2018,32.61599954972185,8.373927108660569,25.15533836817112,51.11296702363044,4.0,2018.0
80,Spring,2019,32.091634836297224,9.219975828890936,24.632265436370854,88.65106297369789,3.7777777777777777,2019.0
81,Spring,2020,32.884546280475384,7.569301478860029,25.555455237826123,41.032844130104515,3.0,2020.0
82,Spring,2021,32.854661242952,10.626671664537925,25.0046104640508,60.76179313971472,4.0344827586206895,2021.0
83,Spring,2022,33.28849011854058,8.597256508933867,25.70053248944843,36.996829247533626,3.225806451612903,2022.0
84,Spring,2023,32.82161792909763,13.114674578657118,24.570416733789983,109.7934324512954,5.0,2023.0
85,Spring,2024,31.55086537327943,8.785512984934817,24.341668083765413,87.63638681959509,4.0,2024.0
86,Summer,1975,31.569358351823837,15.787343576210901,23.06488818543349,122.63741472278558,6.0,1975.0
87,Summer,1976,31.972089330458196,20.7388159870093,22.172936646489998,201.7759793309432,6.4411764705882355,1976.0
88,Summer,1977,32.11248232447179,18.68250637353846,22.73885039836502,193.95304921328542,6.87218045112782,1977.0
89,Summer,1978,31.309370002611125,18.142907865816092,22.288654692119536,183.84180453730605,7.059171597633136,1978.0
90,Summer,1979,31.416527222536942,19.931541215888476,21.92305209172462,183.10625320974287,7.14,1979.0
91,Summer,1987,31.24336435707409,22.83616844598512,21.05499703744032,111.88301326324824,8.0,1987.0
92,Summer,1989,30.28274204352719,19.061480694780037,21.29574822688988,68.34594290278902,6.95,1989.0
93,Summer,1991,31.809436092436513,22.711789236934596,21.508749593426355,221.72628832249293,7.333333333333333,1991.0
94,Summer,1992,31.314732747820944,19.47900235667755,21.96459218647757,161.38717903194774,7.111111111111111,1992.0
95,Summer,1993,31.359981322537433,22.62347828966501,21.204821758860966,210.82737179859268,7.951219512195122,1993.0
96,Summer,1994,31.114452940883687,21.914080164627777,21.20886500841228,201.115353868291,6.7594936708860756,1994.0
97,Summer,1995,32.60459531476267,19.831907425775587,22.845741534966788,197.77961902950707,6.333333333333333,1995.0
