Estimate Status,Year,Common Name,PSE Harvest,Does Landing (A+B1) Meet MRIP Standard,Is Landing (A+B1) Significantly Different From 0,Total Harvest (A+B1),Landing (A+B1) Lower 95% Confidence Limit,Landing (A+B1) Upper 95% Confidence Limit,PSE Released,Does Released Alive (B2) Meet MRIP Standard,Is Released Alive (B2) Significantly Different From 0,Released (B2),Released Alive (B2) Lower 95% Confidence Limit,Released Alive (B2) Upper 95% Confidence Limit
FINAL,1998,ALL SPECIES,17.6,YES,YES,10609577,6949697,14269457,9.6,YES,YES,12518420,10162954,14873886
FINAL,1999,ALL SPECIES,26.7,YES,YES,14465223,6895283,22035164,6.4,YES,YES,29671199,25949244,33393154
FINAL,2000,ALL SPECIES,63.7,NO,NO,46799741,0,105230154,12.6,YES,YES,29747755,22401249,37094260
FINAL,2001,ALL SPECIES,10.9,YES,YES,9459156,7438302,11480010,6.1,YES,YES,34906431,30733018,39079844
FINAL,2002,ALL SPECIES,8.3,YES,YES,9419261,7886936,10951586,5.6,YES,YES,34707794,30898267,38517322
FINAL,2003,ALL SPECIES,11.6,YES,YES,19738588,15250823,24226353,5,YES,YES,27681983,24969149,30394817
FINAL,2004,ALL SPECIES,17.9,YES,YES,17064903,11077852,23051954,8.6,YES,YES,34000232,28269153,39731311
FINAL,2005,ALL SPECIES,12.9,YES,YES,10070011,7523909,12616113,8.6,YES,YES,35273760,29328015,41219505
FINAL,2006,ALL SPECIES,13.2,YES,YES,12224161,9061526,15386796,8.2,YES,YES,36857265,30933565,42780964
FINAL,2007,ALL SPECIES,11.2,YES,YES,11589252,9045179,14133325,6.3,YES,YES,31333284,27464250,35202318
FINAL,2008,ALL SPECIES,14.4,YES,YES,12120412,8699547,15541277,7.1,YES,YES,37289532,32100320,42478743
FINAL,2009,ALL SPECIES,10.8,YES,YES,9708058,7653056,11763060,6.8,YES,YES,36135302,31319189,40951415
FINAL,2010,ALL SPECIES,10.2,YES,YES,11215391,8973210,13457572,6.2,YES,YES,35811370,31459572,40163168
FINAL,2011,ALL SPECIES,10.8,YES,YES,9540058,7520619,11559498,5.9,YES,YES,35922928,31768801,40077056
FINAL,2012,ALL SPECIES,10.1,YES,YES,10922679,8760426,13084933,7.6,YES,YES,47572355,40485977,54658733
FINAL,2013,ALL SPECIES,10.3,YES,YES,12480019,9960553,14999485,6.8,YES,YES,53826100,46652158,61000043
FINAL,2014,ALL SPECIES,13.4,YES,YES,14276794,10527137,18026451,9.9,YES,YES,46348563,37355088,55342038
FINAL,2015,ALL SPECIES,22.6,YES,YES,28230553,15725547,40735559,7.7,YES,YES,62415658,52995887,71835429
FINAL,2016,ALL SPECIES,10.6,YES,YES,17549063,13903070,21195056,7.4,YES,YES,70250691,60061531,80439852
FINAL,2017,ALL SPECIES,10.8,YES,YES,18234668,14374754,22094583,8.4,YES,YES,84058675,70219254,97898095
FINAL,2018,ALL SPECIES,11.2,YES,YES,10627873,8294842,12960904,6.4,YES,YES,42097022,36816371,47377672
FINAL,2019,ALL SPECIES,11.2,YES,YES,19945312,15566917,24323707,5.8,YES,YES,60625357,53733466,67517248
FINAL,2020,ALL SPECIES,11.6,YES,YES,16388990,12662789,20115191,6,YES,YES,53395054,47115795,59674312
FINAL,2021,ALL SPECIES,16.3,YES,YES,15495461,10544971,20445951,6.6,YES,YES,41530927,36158487,46903368
FINAL,2022,ALL SPECIES,13.2,YES,YES,24655988,18276991,31034985,7.3,YES,YES,63665286,54556057,72774515
PRELIMINARY,2023,ALL SPECIES,9.8,YES,YES,12048157,9733947,14362367,7.8,YES,YES,41799604,35409280,48189927
