"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","salt","salt_flag","pressure","profile_num","EPU","NYB","STRATA","surf_dens","c50_dens","depth50"
"13072",13072,-72.7566680908203,39.0550003051758,20190818,140,1.98483669757843,0,26.2700004577637,0,31.57200050354,0,2,150,"MAB","NYB",NA,1020.37484774171,1026.29585961563,49.6151428222656
"13204",13204,-72.5933303833008,39.0133323669434,20190818,1200,2.97725892066956,0,26.3799991607666,0,32.8199996948242,0,3,151,"Not in NES","NYB",NA,1021.28455265599,1026.10489208392,49.6153259277344
"13703",13703,-72.4166641235352,39.2466659545898,20190818,211,0.992403507232666,0,26.0200004577637,0,31.5370006561279,0,1,152,"MAB","NYB",1040,1020.42131039144,1026.13053590597,49.6142807006836
"13909",13909,-72.6616668701172,39.408332824707,20190818,95,0.992388904094696,0,26.1299991607666,0,31.2259998321533,0,1,153,"MAB","NYB",1020,1020.15331997846,1026.27017679872,49.6135520935059
"14000",14000,-73.0783309936523,39.5800018310547,20190819,45,0.992373466491699,0,26.0799999237061,0,30.5330009460449,0,1,154,"MAB","NYB",1010,1019.64712940902,1025.49689119328,40.6833686828613
"14041",14041,-73.3866653442383,39.3650016784668,20190819,49,2.97716426849365,0,25.2600002288818,0,30.2759990692139,0,3,155,"MAB","NYB",1730,1019.71101502189,1025.45541806909,45.645092010498
"14084",14084,-73.4983367919922,39.4933319091797,20190819,33,0.992381274700165,0,26.0799999237061,0,30.6040000915527,0,1,156,"MAB","NYB",1730,1019.70055750014,1024.94718738067,29.7693462371826
"14114",14114,-73.5800018310547,39.7433319091797,20190819,31,0.992358803749084,0,24.8799991607666,0,30.0599994659424,0,1,157,"MAB","NYB",1730,1019.65289561187,1025.13731359515,27.7842273712158
"14204",14204,-73.2583312988281,40.3316650390625,20190819,32,0.99230569601059,0,24.3500003814697,0,31.1280002593994,0,1,161,"MAB","NYB",1010,1020.61508901377,1024.87989333243,28.7749118804932
"14233",14233,-72.8399963378906,40.1666679382324,20190819,47,0.992320775985718,0,25.5900001525879,0,31.1609992980957,0,1,162,"MAB","NYB",1010,1020.26952369751,1025.58021493539,42.6654472351074
"14276",14276,-72.9916687011719,40.6533317565918,20190820,15,0.992276728153229,0,22.7900009155273,0,30.6840000152588,0,1,163,"MAB","NYB",3070,1020.72744192603,1021.39173261308,9.92255115509033
