,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1951,"HERRING, ATLANTIC","542,600",246,"10,941","102,252",Public,Commercial
1951,"HERRING, LAKE OR CISCO","18,900",9,"7,926","74,075",Public,Commercial
1951,KINGFISHES **,"13,900",6,"1,628","15,215",Public,Commercial
1951,"LOBSTER, AMERICAN","192,800",87,"84,580","790,467",Public,Commercial
1951,"MACKEREL, ATLANTIC","150,600",68,"25,070","234,299",Public,Commercial
1951,MENHADENS **,"85,433,200","38,752","896,743","8,380,776",Public,Commercial
1951,"MUSSEL, SEA","37,600",17,"7,509","70,178",Public,Commercial
1951,"OYSTER, EASTERN","9,383,100","4,256","6,255,270","58,460,468",Public,Commercial
1951,"PERCH, WHITE","11,000",5,"1,466","13,701",Public,Commercial
1951,"PERCH, YELLOW","32,700",15,"5,669","52,981",Public,Commercial
1951,POLLOCK,"5,700",3,527,"4,925",Public,Commercial
1951,PORGIES **,"9,597,600","4,353","820,161","7,665,056",Public,Commercial
1951,"PUFFER, NORTHERN","812,100",368,"50,163","468,813",Public,Commercial
1951,"SCALLOP, BAY","101,100",46,"121,356","1,134,168",Public,Commercial
1951,"SCALLOP, SEA","3,378,100","1,532","1,452,592","13,575,626",Public,Commercial
1951,SEAROBINS **,"4,500",2,132,"1,234",Public,Commercial
1951,"SHAD, AMERICAN","462,300",210,"70,590","659,720",Public,Commercial
1951,"SHARKS, CHONDRICHTHYES (CLASS) **","3,800",2,197,"1,841",Public,Commercial
1951,"SHARKS, DOGFISH **","58,900",27,"2,890","27,009",Public,Commercial
1951,"SKATES, RAJIDAE (FAMILY) **","49,600",22,"2,650","24,766",Public,Commercial
1951,"SMELT, RAINBOW","7,100",3,"2,842","26,561",Public,Commercial
1951,"SQUIDS, LOLIGINIDAE **","1,053,000",478,"98,932","924,598",Public,Commercial
1951,STURGEONS **,"9,500",4,"3,791","35,430",Public,Commercial
1951,SUCKERS **,"29,600",13,"2,476","23,140",Public,Commercial
1951,SUNFISHES **,"7,300",3,836,"7,813",Public,Commercial
1951,SWORDFISH,"2,100",1,"1,155","10,794",Public,Commercial
1951,TAUTOG,"7,500",3,392,"3,664",Public,Commercial
1951,"TILEFISH, GOLDEN","447,400",203,"39,321","367,486",Public,Commercial
1951,"TROUT, LAKE","1,900",1,577,"5,393",Public,Commercial
