"","X","lon","lat","date","bot_depth","depth","depth_flag","temp","temp_flag","profile_num","EPU","NYB","STRATA","seafloor_depth","surf_temp","surf_temp_1m","bot_T","bot_T_10m"
"425",59421,-73.1033325195312,39.5016670227051,20210623,55,0.992380499839783,0,19.5699996948242,0,737,"MAB","NYB",1020,-56,19.5699996948242,19.5699996948242,7.90999984741211,7.90999984741211
"426",59472,-73.0733337402344,39.4199981689453,20210623,66,0.992387890815735,0,19.5300006866455,0,738,"MAB","NYB",1740,-64,19.5300006866455,19.5300006866455,8.15999984741211,8.15999984741211
"427",59534,-73.0449981689453,39.3349990844727,20210623,69,0.992395579814911,0,19.0300006866455,0,739,"MAB","NYB",1740,-66,19.0300006866455,19.0300006866455,9,9
"428",59599,-73.0199966430664,39.2599983215332,20210623,74,0.992402255535126,0,19.25,0,740,"MAB","NYB",1740,-72,19.25,19.25,9.18000030517578,9.18000030517578
"429",59669,-72.9916687011719,39.1749992370605,20210623,71,0.992410004138947,0,19.3099994659424,0,741,"MAB","NYB",1740,-70,19.3099994659424,19.3099994659424,9.52000045776367,9.52000045776367
"430",59735,-72.8166656494141,39.3300018310547,20210623,81,0.992396056652069,0,19.0100002288818,0,742,"MAB","NYB",1020,-77,19.0100002288818,19.0100002288818,11.6199998855591,11.6199998855591
"431",59811,-73.0416641235352,38.6399993896484,20210623,1227,0.992457807064056,0,19.5300006866455,0,743,"Not in NES","NYB",NA,-1222,19.5300006866455,19.5300006866455,12.8000001907349,NA
"432",61179,-71.3050003051758,40.1966667175293,20210705,95,0.992317974567413,0,21.1499996185303,0,755,"MAB","NYB",1060,-94,21.1499996185303,21.1499996185303,13.1099996566772,13.1099996566772
"433",61567,-72.288330078125,39.716667175293,20210813,109,0.992361187934875,0,24.4500007629395,0,759,"MAB","NYB",1020,-107,24.4500007629395,24.4500007629395,13.5200004577637,13.5200004577637
"434",61880,-71.9449996948242,39.276668548584,20210814,1734,4.96195554733276,0,25.8099994659424,0,761,"Not in NES","NYB",NA,-1682,25.8099994659424,NA,15.1499996185303,NA
"435",61967,-71.9333343505859,39.2649993896484,20210814,1734,4.9619607925415,0,25.7700004577637,0,762,"Not in NES","NYB",NA,-1842,25.7700004577637,NA,15.1000003814697,NA
"436",62054,-71.9250030517578,39.2533340454102,20210814,1734,5.95434427261353,0,25.6000003814697,0,763,"Not in NES","NYB",NA,-2085,25.6000003814697,NA,15.0500001907349,NA
"437",62140,-71.9150009155273,39.2400016784668,20210814,1734,4.9619722366333,0,25.6200008392334,0,764,"Not in NES","NYB",NA,-1979,25.6200008392334,NA,15.1800003051758,NA
"438",62227,-71.9066696166992,39.2283325195312,20210814,1734,0.99240517616272,0,25.6599998474121,0,765,"Not in NES","NYB",NA,-2042,25.6599998474121,25.6599998474121,15.210000038147,NA
"439",62314,-72.0183334350586,39.3266677856445,20210814,1695,0.992396295070648,0,25.3600006103516,0,766,"Not in NES","NYB",NA,-1527,25.3600006103516,25.3600006103516,16.7000007629395,NA
"440",62350,-72.0449981689453,39.341667175293,20210814,1745,0.992394983768463,0,25.2199993133545,0,767,"Not in NES","NYB",NA,-1539,25.2199993133545,25.2199993133545,16.0900001525879,NA
"441",62401,-72.0100021362305,39.2783317565918,20210814,1675,0.992400586605072,0,25.2299995422363,0,768,"Not in NES","NYB",NA,-1735,25.2299995422363,25.2299995422363,24.7800006866455,NA
"442",62617,-72.7766647338867,39.1016654968262,20210814,127,0.992416441440582,0,24.8400001525879,0,770,"MAB","NYB",1750,-123,24.8400001525879,24.8400001525879,13.8000001907349,13.8000001907349
"443",62741,-73.1399993896484,38.625,20210814,515,0.992459058761597,0,25.9599990844727,0,771,"Not in NES","NYB",NA,-570,25.9599990844727,25.9599990844727,13.4300003051758,NA
"444",63574,-71.2466659545898,39.6733322143555,20210820,1910,0.992365062236786,0,25.7299995422363,0,780,"Not in NES","NYB",NA,-1959,25.7299995422363,25.7299995422363,12.1899995803833,NA
"445",63777,-71.379997253418,39.6533317565918,20210820,1777,0.992367029190063,0,25.7399997711182,0,781,"Not in NES","NYB",NA,-1815,25.7399997711182,25.7399997711182,12.1899995803833,NA
"446",63980,-70.9516677856445,39.9183349609375,20210820,511,0.992343068122864,0,26.0799999237061,0,782,"Not in NES","NYB",NA,-561,26.0799999237061,26.0799999237061,12.0799999237061,NA
"447",64524,-73.1516647338867,38.6766662597656,20220305,138,1.98490428924561,0,9.96000003814697,0,794,"MAB","NYB",1750,-139,9.96000003814697,NA,13.75,13.75
"448",64658,-73.1149978637695,38.658332824707,20220305,239,0.992456138134003,0,13.2700004577637,0,795,"Not in NES","NYB",1760,-316,13.2700004577637,13.2700004577637,13.1300001144409,13.1300001144409
"449",65495,-73.086669921875,39.3016662597656,20220316,65,0.992398500442505,0,8.98999977111816,0,807,"MAB","NYB",1740,-67,8.98999977111816,8.98999977111816,8.14999961853027,8.14999961853027
"450",65555,-73.086669921875,39.0883331298828,20220316,69,1.98483049869537,0,9.22000026702881,0,808,"MAB","NYB",1740,-70,9.22000026702881,NA,12.0299997329712,12.0299997329712
"451",65621,-72.8516693115234,39.033332824707,20220316,109,0.992422640323639,0,9.44999980926514,0,809,"MAB","NYB",1750,-112,9.44999980926514,9.44999980926514,13.6099996566772,13.6099996566772
"452",65727,-72.7583312988281,39.0499992370605,20220316,144,1.98483753204346,0,12.3800001144409,0,810,"MAB","NYB",NA,-192,12.3800001144409,NA,13.4899997711182,13.4899997711182
"453",65864,-72.8199996948242,39.0999984741211,20220316,107,0.992416739463806,0,10.0200004577637,0,811,"MAB","NYB",1750,-111,10.0200004577637,10.0200004577637,13.5,13.5
"454",65969,-72.8833312988281,39.1433334350586,20220316,86,0.992412805557251,0,9.85000038146973,0,812,"MAB","NYB",1740,-87,9.85000038146973,9.85000038146973,13.539999961853,13.539999961853
"455",66053,-72.7316665649414,39.1033325195312,20220317,134,0.992416381835938,0,12.4300003051758,0,813,"MAB","NYB",NA,-134,12.4300003051758,12.4300003051758,13.5200004577637,13.5200004577637
"456",66185,-72.5250015258789,39.2116661071777,20220317,163,0.992406725883484,0,10.7700004577637,0,814,"MAB","NYB",1040,-147,10.7700004577637,10.7700004577637,13.4799995422363,13.4799995422363
"457",66345,-72.5883331298828,39.408332824707,20220317,112,0.992388904094696,0,9.38000011444092,0,815,"MAB","NYB",1030,-118,9.38000011444092,9.38000011444092,13.8400001525879,13.8400001525879
"458",66453,-72.4066696166992,39.5033340454102,20220317,139,0.992380440235138,0,10.2299995422363,0,816,"MAB","NYB",1030,-159,10.2299995422363,10.2299995422363,13.6599998474121,13.6599998474121
"459",66590,-72.2766647338867,39.4583320617676,20220317,426,0.992384493350983,0,10.1000003814697,0,817,"Not in NES","NYB",1040,-243,10.1000003814697,10.1000003814697,7.78000020980835,7.78000020980835
"460",67014,-72.1216659545898,39.6049995422363,20220317,153,0.992371261119843,0,8.89000034332275,0,818,"MAB","NYB",1030,-154,8.89000034332275,8.89000034332275,12.8100004196167,12.8100004196167
"461",67165,-72.1433334350586,39.689998626709,20220317,126,0.992363750934601,0,8.97999954223633,0,819,"MAB","NYB",1030,-127,8.97999954223633,8.97999954223633,13.289999961853,13.289999961853
"462",67285,-72.211669921875,39.7150001525879,20220317,117,0.992361426353455,0,9.44999980926514,0,820,"MAB","NYB",1030,-118,9.44999980926514,9.44999980926514,13.460000038147,13.460000038147
"463",67398,-72.25,39.7483329772949,20220317,96,0.992358446121216,0,8.97999954223633,0,821,"MAB","NYB",1020,-98,8.97999954223633,8.97999954223633,13.0200004577637,13.0200004577637
"464",67486,-72.2933349609375,39.7799987792969,20220317,91,0.992355525493622,0,8.90999984741211,0,822,"MAB","NYB",1020,-90,8.90999984741211,8.90999984741211,12.8100004196167,12.8100004196167
"465",67575,-72.4966659545898,39.841667175293,20220317,63,1.98469531536102,0,8.31999969482422,0,823,"MAB","NYB",1020,-64,8.31999969482422,NA,8.10000038146973,8.10000038146973
"466",67634,-72.4300003051758,39.9466667175293,20220317,69,0.992340564727783,0,8.56999969482422,0,824,"MAB","NYB",1020,-70,8.56999969482422,8.56999969482422,9.46000003814697,NA
"467",67695,-72.8716659545898,40.1166648864746,20220318,50,0.992325186729431,0,7.09999990463257,0,825,"MAB","NYB",1010,-50,7.09999990463257,7.09999990463257,6.65000009536743,6.65000009536743
"468",67740,-72.9933319091797,40.1733322143555,20220318,48,0.99232006072998,0,6.55999994277954,0,826,"MAB","NYB",1010,-48,6.55999994277954,6.55999994277954,6.42999982833862,6.42999982833862
"469",67781,-73.0283355712891,39.7583351135254,20220318,56,0.992357552051544,0,8.56999969482422,0,827,"MAB","NYB",1010,-59,8.56999969482422,8.56999969482422,7.8600001335144,7.8600001335144
"470",67833,-73.1166687011719,39.7783317565918,20220318,48,2.97705245018005,0,8.63000011444092,0,828,"MAB","NYB",1010,-49,8.63000011444092,NA,7.92999982833862,7.92999982833862
"471",67873,-73.5666656494141,39.6933326721191,20220318,37,0.992363333702087,0,7.17999982833862,0,829,"MAB","NYB",1730,-37,7.17999982833862,7.17999982833862,6.51000022888184,6.51000022888184
"472",67995,-73.8000030517578,40.4249992370605,20220318,34,0.992297410964966,0,6.96999979019165,0,835,"MAB","NYB",3140,-34,6.96999979019165,6.96999979019165,6.15000009536743,6.15000009536743
"473",68023,-73.7099990844727,40.473331451416,20220319,25,0.992292940616608,0,7.21000003814697,0,836,"MAB","NYB",3140,-25,7.21000003814697,7.21000003814697,5.92999982833862,5.92999982833862
"474",68044,-73.6616668701172,40.4599990844727,20220319,24,0.992294192314148,0,7.26999998092651,0,837,"MAB","NYB",3110,-23,7.26999998092651,7.26999998092651,5.8600001335144,5.8600001335144
"475",68064,-73.6116638183594,40.3183326721191,20220319,23,1.98460948467255,0,6.46000003814697,0,838,"MAB","NYB",3110,-24,6.46000003814697,NA,5.1399998664856,5.1399998664856
"476",68082,-73.428337097168,40.3199996948242,20220319,30,1.9846088886261,0,6.46000003814697,0,839,"MAB","NYB",1010,-31,6.46000003814697,NA,5.09999990463257,5.09999990463257
"477",68105,-73.2433319091797,40.593334197998,20220319,19,0.992282152175903,0,6.71999979019165,0,840,"MAB","NYB",3110,-18,6.71999979019165,6.71999979019165,5.01999998092651,5.01999998092651
"478",68120,-73.0766677856445,40.5483322143555,20220319,27,0.992286086082458,0,5.90000009536743,0,841,"MAB","NYB",3080,-28,5.90000009536743,5.90000009536743,4.73000001907349,4.73000001907349
"479",68143,-72.9800033569336,40.5816650390625,20220319,25,0.992283225059509,0,6.19000005722046,0,842,"MAB","NYB",3080,-25,6.19000005722046,6.19000005722046,4.76000022888184,4.76000022888184
